region,state,semana_ref,chuva_media_semanal,temperatura_media,umidade_media,vento_medio,pressao_media,radiacao_media
N,AC,2020-01-06,2.857143,26.612501,80.030754,1.2495875,988.4881,1208.9994
N,AC,2020-01-13,40.6,25.377876,85.99503,0.9647817,990.5539,951.6636
N,AC,2020-01-20,30.0,26.763498,83.55853,1.0119047,988.42413,1180.3497
N,AC,2020-01-27,36.8,26.117361,85.77877,0.95297605,989.4402,977.3941
N,AC,2020-02-03,43.94286,25.796331,86.2252,0.98204356,989.46063,1006.1352
N,AC,2020-02-10,33.800003,25.38169,87.64199,0.8836179,989.72876,899.50854
N,AC,2020-02-17,47.571423,25.607641,85.97321,1.0733193,988.9622,1003.3406
N,AC,2020-02-24,62.31428,25.79081,85.727356,0.88326913,989.66034,1002.88965
N,AC,2020-03-02,41.085712,26.055977,85.42404,0.84530395,989.86816,1111.3759
N,AC,2020-03-09,34.37143,26.294561,85.08181,0.89255947,989.10254,1162.0021
N,AC,2020-03-16,44.399998,24.942709,89.021545,0.9782834,987.922,909.42664
N,AC,2020-03-23,24.17143,26.759806,82.20083,1.1014867,986.2212,1480.4459
N,AC,2020-03-30,31.514286,26.700806,82.79242,0.8608962,987.758,1357.6526
N,AC,2020-04-06,33.914284,26.157473,82.59755,1.1424998,989.2498,1314.4131
N,AC,2020-04-13,18.885715,25.147123,79.26687,1.4503571,990.0459,1449.9128
N,AC,2020-04-20,27.228573,26.025892,80.994354,0.9149467,988.43964,1281.6428
N,AC,2020-04-27,26.800001,26.232855,84.54762,0.99538696,990.1864,1321.2856
N,AC,2020-05-04,3.9714293,25.283993,79.86283,1.259225,990.5687,1487.2544
N,AC,2020-05-11,14.457141,26.775269,79.248825,1.1943493,989.765,1543.5859
N,AC,2020-05-18,3.8571436,26.764404,79.4119,1.1469743,990.0858,1302.6237
N,AC,2020-05-25,0.45714286,24.732586,78.05208,0.7634705,991.40594,1358.0713
N,AC,2020-06-01,10.457143,25.765945,84.710434,0.7912976,991.12683,1081.6871
N,AC,2020-06-08,2.142857,26.15716,82.69939,0.8566331,990.22156,1122.3619
N,AC,2020-06-15,0.14285715,27.081547,77.51172,0.8458081,990.60925,1336.3413
N,AC,2020-06-22,6.2571425,26.449152,82.27874,0.9442161,988.6861,1154.6504
N,AC,2020-06-29,1.6857144,25.33967,82.93582,0.85723543,989.2255,1032.4386
N,AC,2020-07-06,15.885715,25.419825,82.84714,0.900002,990.00037,1119.2217
N,AC,2020-07-13,4.5142856,26.342834,80.39676,0.85379314,990.3316,1326.1058
N,AC,2020-07-20,8.742857,26.114067,81.65356,0.99220514,989.6599,1121.4996
N,AC,2020-07-27,0.08571429,26.830164,70.73214,1.249008,991.3564,1563.7931
N,AC,2020-08-03,0.0,28.667463,60.992157,1.0590686,991.8522,1416.2108
N,AC,2020-08-10,2.542857,28.18671,74.583374,0.8899285,987.12634,1332.9279
N,AC,2020-08-17,10.885713,24.162378,77.36777,1.5535579,989.3723,1215.7833
N,AC,2020-08-24,0.028571429,27.752235,65.88492,1.0332673,988.6692,1550.3544
N,AC,2020-08-31,3.8285713,27.672829,76.854576,1.1292697,990.2536,1223.974
N,AC,2020-09-07,2.742857,28.172846,74.29331,1.0466474,989.3614,1321.5533
N,AC,2020-09-14,24.657145,28.32651,74.338806,1.0385605,989.8897,1486.8677
N,AC,2020-09-21,4.3142858,29.337835,66.28801,1.3431817,987.9553,1624.9955
N,AC,2020-09-28,18.114286,27.28997,76.43542,1.4027381,989.2808,1517.1025
N,AC,2020-10-05,4.4571433,26.57143,78.51358,0.963988,992.0709,1681.544
N,AC,2020-10-12,6.914286,25.50893,82.91594,1.022619,991.0488,1435.5907
N,AC,2020-10-19,13.942858,28.11477,74.32531,1.6180195,989.4175,1924.1766
N,AC,2020-10-26,14.000001,26.415365,80.91863,1.7715912,988.1465,1355.3121
N,AC,2020-11-02,6.7999997,28.43818,73.72009,1.0292327,987.9087,1705.2625
N,AC,2020-11-09,1.2571428,27.15258,80.80459,1.3446428,989.39655,1571.4213
N,AC,2020-11-16,14.799998,28.73413,78.55288,1.4525794,988.6775,1695.1777
N,AC,2020-11-23,6.7142863,26.380949,85.30335,1.0047619,989.6061,1354.8792
N,AC,2020-11-30,18.42857,24.799109,89.022804,1.0172619,991.3584,1126.1208
N,AC,2020-12-07,6.2285714,25.209824,86.343834,1.0473214,991.26526,1286.5238
N,AC,2020-12-14,22.457144,25.11915,85.72164,1.1486661,987.1333,1391.9294
N,AC,2020-12-21,41.771427,24.86805,88.81017,1.1569558,989.0762,1078.4868
N,AC,2020-12-28,35.45714,25.675835,84.95281,1.0627722,990.21423,1410.2411
N,AC,2021-01-04,20.885714,25.051773,86.36309,1.1997877,990.67615,1274.1294
