region,state,periodo_ref,chuva_media_acumulada,temperatura_media,umidade_media,vento_medio_kmh,pressao_media_inHg,radiacao_media
SE,MG,2017-10-01,441.45694,23.526114,68.078094,7.6762977,27.472868,1409.699
SE,MG,2018-01-01,466.81494,23.65674,74.89248,6.0316215,27.444826,1498.7537
SE,MG,2018-04-01,73.65585,20.488611,71.48751,5.852675,27.57111,1265.9348
SE,MG,2018-07-01,80.39997,20.758894,61.520386,6.840865,27.563816,1391.6155
SE,MG,2018-10-01,595.54156,23.22238,73.06135,7.0754943,27.462278,1365.3384
SE,MG,2019-01-01,395.60016,24.302086,71.59304,6.137316,27.484959,1566.4592
SE,MG,2019-04-01,144.20891,21.580181,72.67397,5.367287,27.540428,1288.9401
SE,MG,2019-07-01,52.66566,20.913528,58.752666,7.2550406,27.594421,1426.1028
SE,MG,2019-10-01,419.35834,24.097855,66.64869,7.3986297,27.441954,1499.4183
SE,MG,2020-01-01,750.7676,23.347414,78.48709,5.828158,27.448395,1359.2639
SE,MG,2020-04-01,94.98504,20.014233,74.435814,5.4273543,27.533825,1290.294
SE,MG,2020-07-01,26.27761,20.913702,59.60602,6.8030844,27.533403,1516.095
SE,MG,2020-10-01,420.08682,23.537094,70.2334,6.5376887,27.421612,1432.1215
SE,MG,2021-01-01,414.8242,23.405373,73.23734,5.643964,27.392534,1519.7935
SE,MG,2021-04-01,30.749252,21.678339,70.010025,5.4765224,27.441463,1480.1522
CO,MS,2015-01-01,366.10034,25.924465,74.26864,5.4420557,28.59872,1519.7092
CO,MS,2015-04-01,243.17152,22.264454,76.50519,5.8789086,28.661623,1231.7924
CO,MS,2015-07-01,209.69284,23.15805,62.677147,7.0482125,28.660845,1322.0233
CO,MS,2015-10-01,484.4931,25.877384,73.77567,7.145722,28.572973,1409.7344
CO,MS,2016-01-01,369.9788,25.864515,76.81177,6.202546,28.594303,1441.0042
CO,MS,2016-04-01,175.87144,21.384731,70.02142,5.8526115,28.717941,1216.9092
CO,MS,2016-07-01,108.27857,21.438427,57.536526,6.904584,28.699455,1394.0096
CO,MS,2016-10-01,306.2858,25.191074,66.87142,7.592991,28.57316,1525.5658
