country,semana,total_registros,latitude,longitude,temperature_celsius,wind_kph,pressure_in,precip_mm,humidity,cloud,feels_like_celsius,uv_index
Bolivia,2025-08-03T00:00:00Z,14,-15.113199999999999,-66.17125,15.257142857142856,5.921428571428572,30.005,0.02857142857142857,75.28571428571429,34.57142857142857,15.178571428571429,0
Bolivia,2025-08-10T00:00:00Z,14,-15.113199999999999,-66.17125,13.4,4.3,30.002857142857142,0,60.714285714285715,13.5,13.42142857142857,0
Bolivia,2025-08-17T00:00:00Z,14,-15.113199999999999,-66.17125,16.821428571428573,5.178571428571429,29.865,0,66.78571428571429,19.714285714285715,17.228571428571428,0
Bolivia,2025-08-24T00:00:00Z,14,-15.113199999999999,-66.17125,13.335714285714285,5.585714285714285,30.010714285714286,0.012142857142857144,61.357142857142854,19.285714285714285,13.32857142857143,0
Bolivia,2025-08-31T00:00:00Z,14,-15.113199999999999,-66.17125,16.685714285714287,5.807142857142857,29.90642857142857,0.4507142857142857,76.28571428571429,39.785714285714285,17.035714285714285,0
Bolivia,2025-09-07T00:00:00Z,14,-15.113199999999999,-66.17125,17.271428571428572,5.7,29.945,0.004285714285714286,68.21428571428571,22.642857142857142,17.442857142857143,0
Bolivia,2025-09-14T00:00:00Z,14,-15.113199999999999,-66.17125,18.35,5.214285714285714,29.867857142857144,0.007857142857142858,70.14285714285714,25.428571428571427,19.035714285714285,0
Bolivia,2025-09-21T00:00:00Z,14,-15.113199999999999,-66.17125,17.75,6.457142857142857,29.902857142857144,0.04428571428571428,74.57142857142857,27.857142857142858,18.12857142857143,0
Bolivia,2025-09-28T00:00:00Z,14,-15.113199999999999,-66.17125,17.12857142857143,5.635714285714286,29.93285714285714,0.07785714285714286,80,45,17.792857142857144,0
Bolivia,2025-10-05T00:00:00Z,14,-15.113199999999999,-66.17125,16.735714285714288,5.685714285714286,29.875,0.002142857142857143,71.42857142857143,25,17.057142857142857,0
Bolivia,2025-10-12T00:00:00Z,14,-15.113199999999999,-66.17125,18.135714285714286,6.2,29.815714285714286,0.04642857142857143,77.57142857142857,44.214285714285715,18.685714285714287,0
Bolivia,2025-10-19T00:00:00Z,14,-15.113199999999999,-66.17125,17.67142857142857,5.828571428571428,29.872142857142858,7.142857142857143e-4,71.64285714285714,29.642857142857142,18.021428571428572,0
Bolivia,2025-10-26T00:00:00Z,14,-15.113199999999999,-66.17125,16.857142857142858,6.0928571428571425,29.867857142857144,0.1635714285714286,85.71428571428571,59.92857142857143,17.22142857142857,0
